,"concentric_LIN_cars=0300(L)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(L)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[3]=(3-0, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10","concentric_LIN_cars=0300(R)_t=1_levels[4]=(3-0, 3-60, 3-300, 3-600)_rebal=(0-8)[P]_[05h,+30m+04h+60m]_0.10(S)_1.00_0.10"
30,16728.28652363043,17120.196036710473,16045.204905843195,15879.919424542386
31,16394.19763268553,16557.172852819614,15383.816069591638,15150.351533424877
32,16698.46042120531,16906.912043512337,16113.336384619224,15951.240725858606
33,16755.078431657064,16937.095743834296,15758.92226216044,15435.823381506427
34,15659.704045370492,16635.13818374013,15539.862350968626,15244.672802514835
35,15936.243184203337,17208.019820448557,16230.518985668723,16100.497623044674
36,16560.70333105301,16723.854328509227,15567.02950705113,15363.616742772125
37,16228.232552753741,16653.530728948215,15532.592213825426,15441.970214856172
38,16361.759952054534,17184.025140359656,15665.261012247767,15454.140323000125
39,16378.174332290584,16855.557818333364,15132.654096528124,15122.781029953452
40,16395.689738128673,16615.978602551804,15966.49599705342,15694.877569855378
41,16617.862756129984,16612.22419961511,15546.070030488727,15376.321043919015
42,16630.716236794575,16845.712927070104,15710.61928356273,15622.528016087346
43,16627.067572188935,16811.380213920358,15812.824650938574,15594.083135500478
44,16583.12128746078,16913.08657105626,15796.317971207605,15693.078503656154
45,16922.457503808437,16950.347451492526,15845.259748465367,15682.492218996795
46,16604.511167330937,16776.878692153303,15485.831765023308,15339.275633835132
47,16545.856178618233,16844.02490628824,15844.765923159348,15563.779777621281
48,16843.938971433734,17267.535441813263,15355.615805071458,15355.913768856726
49,17209.22913094534,17293.99253664872,16069.673324797484,15872.443096762509
50,16956.135891645314,16572.354089815566,15915.603514205535,15660.49508455904
51,17353.244011821636,17367.86123612153,15719.914876080617,15594.72112993391
52,17064.16606136316,17147.703194391004,15370.223299658619,15405.433856190522
53,17659.18378595021,17113.603159717582,15842.115302100361,15739.011477836832
54,16873.784068827565,17198.747609666065,15981.595361688615,15963.849177110002
55,17284.4566695652,17048.387239280837,15549.133855042666,15390.363197449187
56,17042.874424127633,16725.569092299596,15673.773502234479,15611.38686051746
57,16930.573210902658,16906.48465554565,15427.662785477502,15283.316287798181
58,15737.798194781379,16984.268614228993,15927.630385873215,15635.00105070372
59,16083.760495364822,16919.170824398145,15449.543600784562,15227.480343466033
60,16692.028399700026,16669.69844469583,15936.004678254603,15604.622721589385
61,16493.70208456842,17092.197649440917,15736.784714169116,15613.180573054875
62,16593.321491861203,16489.12907745557,16413.28529510369,16333.85725635857
63,16531.77534679746,17232.322854978866,15588.601364863158,15363.785347449186
64,16650.3030214831,17215.62996314609,16157.242218807964,16041.26472219965
65,16724.931937069705,17163.29156086186,16016.811737772845,15984.092461085558
66,16725.79772655406,16996.65500559218,15639.73073075777,15621.391259149917
67,16724.971323186597,16973.089271868397,16664.23079593221,16720.913211776733
68,16793.21808205534,17123.2113116023,16067.815583324564,15930.334272502563
69,17189.838980491397,17143.56905438081,15748.788444435408,15441.50736848198
70,16825.217296920502,17192.69281108495,15974.05644238902,15966.72360173951
71,16740.867020559566,17045.99180245882,15856.606930548707,15792.942592426234
72,17011.90237482361,17222.6269398265,16357.639500588255,16252.604400589318
73,17312.16736266486,16891.93235653381,16172.879980549305,16154.875719614787
74,17051.932631049607,17282.448505116474,16172.422549155022,15933.704232966475
75,17410.888978359584,17324.63343192774,16434.608764797278,16311.476851836158
76,17080.53568343836,17375.268712905,16187.186169511264,16015.805847695437
77,17679.746421097123,17166.65794317412,16548.17796628434,16418.37164852754
78,16923.428534218165,17482.089855034246,15840.708825646954,15678.689806715638
79,17211.346711444716,17463.7744496578,16245.187815269093,16138.933188157755
80,17090.652803780165,17236.622881929914,16229.641066110322,16162.334302722256
81,16826.192942860376,17194.074558278502,16102.157336106558,16034.69160332654
82,17234.651728480352,17315.480644123138,16326.981144827558,16231.599794810816
83,16820.722881505393,17465.371111747467,15471.943008567,15424.771787911312
84,17189.34690388859,17111.51809739353,15897.913667937517,15783.683021597362
85,17082.912645016142,17586.636237963463,15783.792156359628,15756.699510688542
86,17396.163151934627,16952.241869997164,16556.93683291565,16303.164836195714
87,17172.758906194886,17232.07199012685,16403.01104564743,16307.659214428671
88,17144.76740527358,17279.28926806615,16296.049125271433,16111.923016860685
89,16725.576144769762,17196.822822354217,15923.57357749972,15751.194380305455
90,16984.212715228576,17331.29540104433,16049.66172037034,15937.99299605688
91,17400.859702686535,17333.535820602396,16561.199528759786,16496.328558981626
92,16988.918855080363,17224.76048066372,16342.754266991404,16031.98971313434
93,17333.569853971727,17605.980788264736,15890.561774721265,15717.023414580717
94,16586.310788232822,17142.791109882877,16606.814124592835,16354.980204517495
95,16975.842491179657,17273.71406905493,15737.543577496856,15637.011720180159
96,17346.468370005743,17199.45609648366,16123.023773989436,15978.96822561168
97,16791.223969377148,17202.20992955746,15905.990951733334,15615.8095929041
98,16944.489090109804,17169.961533152105,16048.5255979736,15852.505738023448
99,17059.78620984324,17468.517470140403,15987.285021491927,15711.36390078324
100,16927.625757568956,17142.087180126426,16315.576328517642,16139.745325172775
101,17051.15050183674,17306.347752124035,16286.304248146665,16115.805710327395
102,16947.387369074975,17463.588042564,16028.943043252715,15934.52332713889
103,16929.014024348075,17260.38186868482,16252.611403919498,16143.672375801325
104,16740.288572953694,17102.51669633422,15822.85887057459,15782.800845299776
105,16979.423483805946,16941.571638911533,16183.395018315345,15922.903983030337
106,17392.518254500334,16793.283271559354,15838.864094713605,15523.295734182626
107,17185.539567942862,16941.617961031006,16242.296045524568,15982.265222470867
108,17025.854407349674,16835.486242195937,16734.68373961231,16616.683820187518
109,17181.7549021085,17373.649579827998,16073.015742585938,16053.102817104773
110,16992.147552217368,17043.20000568095,16405.883589177367,16280.322864294427
111,17037.19306469238,17001.452358234128,16145.718095169728,15916.671234001507
112,16982.77893050231,17109.562663598,15967.265220858208,15941.581853465465
113,16780.241263082386,17132.00150433316,15973.382932217964,15881.050293270186
114,16678.9577060809,16881.930702866786,15891.43203322534,15747.57933923415
115,16695.190417777656,17274.32991496654,16467.90512327113,16426.798643188737
116,16990.22814424132,17306.31836515432,15986.58597305492,15807.630391697407
117,16544.079006168213,17305.044641974273,15985.551585927511,15880.349686182446
118,16553.22323609686,17080.348499494547,16010.849376712387,15873.164815376267
119,16610.503522287338,17058.137361714755,16224.991504662734,16158.217125346138
120,16420.722537863327,17451.712083371982,16313.190930336523,16135.211343678922
121,17095.774578960558,17360.39732527524,15885.68105913647,15824.660887671991
122,16937.47516525138,17191.962430931584,16316.344005391154,16201.757664659106
123,16987.4484485687,17378.242757389384,16344.852339324783,16224.204839548294
124,16855.573302439916,17123.07576968957,16416.099267588423,16292.443936685871
125,16746.846742714843,17250.14697594648,15840.302299855874,15682.68183270298
126,16928.1953588621,17075.362735151917,16400.277724370106,16267.237492792821
127,16551.720861212954,17021.73120093339,16167.216426613559,15953.672997662723
