pickup_datetime,passenger_count,pk_id,dp_id,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2011-02-01 00:08:49,1,3184,2829,40.765574,-73.97652999999998,40.740926,-74.007588
2011-02-01 00:09:00,1,872,925,40.817487,-73.96035,40.815793,-73.952382
2011-02-01 00:09:00,1,4119,3592,40.747145,-73.977182,40.774842,-73.95088299999998
2011-02-01 00:09:00,1,4291,3833,40.72772,-73.98514499999997,40.72832800000001,-73.98468699999998
2011-02-01 00:09:00,1,2866,995,40.752695,-73.97900799999998,40.774858,-73.956333
2011-02-01 00:09:00,1,982,2286,40.70954,-74.01041499999998,40.751305,-74.00158
2011-02-01 00:09:00,1,2882,3415,40.762962,-73.971823,40.775483,-73.987708
2011-02-01 00:09:00,1,2351,191,40.775287,-73.947767,40.773353,-73.94605
2011-02-01 00:09:00,2,3640,736,40.721412,-73.988332,40.70843,-74.00484199999998
2011-02-01 00:09:00,1,570,1992,40.72983,-73.99890499999998,40.744208,-73.97633299999998
2011-02-01 00:09:09,1,881,1668,40.799137,-73.96302199999998,40.737667,-74.005635
2011-02-01 00:09:15,1,168,987,40.748892,-73.99247099999998,40.734099,-73.97788299999998
2011-02-01 00:09:18,1,3171,2030,40.761316,-73.979364,40.783107,-73.94850499999998
2011-02-01 00:09:22,1,2018,2081,40.772098,-73.955961,40.776272,-73.979765
2011-02-01 00:09:26,1,1989,3512,40.742188,-73.97780299999998,40.73282,-73.984592
2011-02-01 00:09:47,1,4273,624,40.753483,-73.97242699999998,40.792598,-73.971441
2011-02-01 00:09:52,1,3273,881,40.775175,-73.98216999999998,40.799097,-73.96270099999998
2011-02-01 00:10:00,1,3458,911,40.79922,-73.970427,40.787757,-73.978808
2011-02-01 00:10:00,1,2847,133,40.757948,-73.989227,40.802003000000006,-73.961467
2011-02-01 00:10:00,1,2281,3510,40.746788,-73.990003,40.734203,-73.98657
2011-02-01 00:10:00,1,3273,3780,40.77511,-73.98213299999998,40.805315,-73.965788
2011-02-01 00:10:00,5,4057,3731,40.709188,-73.99445299999998,40.72279,-73.994747
2011-02-01 00:10:00,1,233,3578,40.756417,-73.990238,40.732978,-74.004058
2011-02-01 00:10:00,5,745,1214,40.70535200000001,-74.00719999999998,40.725453,-74.00329499999998
2011-02-01 00:10:39,2,2493,4138,40.728482,-73.994438,40.756026,-73.97112799999998
2011-02-01 00:10:45,1,3171,1063,40.761548,-73.97957199999998,40.780742,-73.97663299999998
2011-02-01 00:10:47,1,2819,644,40.737984,-74.000186,40.719855,-73.98769899999998
2011-02-01 00:10:51,1,4259,2344,40.728277,-73.999414,40.771249,-73.950092
2011-02-01 00:11:00,2,3153,3350,40.755048,-73.984342,40.734455,-74.00243
2011-02-01 00:11:00,1,973,1646,40.790355,-73.974962,40.770237,-73.98724
2011-02-01 00:11:00,2,176,2206,40.723292,-73.99555699999998,40.710908,-74.007642
2011-02-01 00:11:00,5,935,3486,40.734038,-73.99863499999998,40.740032,-74.00597299999998
2011-02-01 00:11:00,1,2531,4109,40.770465,-73.982293,40.736383,-73.984778
2011-02-01 00:11:00,5,2819,4258,40.737983,-74.00018699999998,40.72778,-73.99926999999998
2011-02-01 00:11:00,5,1137,2340,40.807895,-73.964167,40.770172,-73.951673
2011-02-01 00:11:00,1,1646,816,40.77063,-73.987578,40.852232,-73.935328
2011-02-01 00:11:15,1,1475,3525,40.72194,-74.005314,40.73875200000001,-74.0079
2011-02-01 00:11:20,3,2561,1314,40.768383,-73.984716,40.738378,-73.99978399999998
2011-02-01 00:11:36,1,2269,3074,40.732195,-74.00358699999998,40.733035,-73.989929
2011-02-01 00:11:40,1,3276,3057,40.756345,-73.972657,40.773061,-73.95816999999998
2011-02-01 00:11:48,2,3273,1888,40.775291,-73.98209699999998,40.793533,-73.970876
2011-02-01 00:11:53,1,4172,3310,40.783161,-73.950585,40.701511,-74.01240099999998
2011-02-01 00:11:57,1,3833,378,40.728465,-73.98475899999998,40.758112,-73.963266
2011-02-01 00:11:57,1,3481,2932,40.741903,-74.00475,40.766304,-73.95705499999998
2011-02-01 00:12:00,1,1607,3127,40.718592,-74.000325,40.712158,-74.005812
2011-02-01 00:12:00,3,3271,2431,40.75479,-73.97378999999998,40.762957,-73.983203
2011-02-01 00:12:00,1,3153,1988,40.754892,-73.98415699999998,40.741165,-73.978595
2011-02-01 00:12:00,1,1263,1528,40.761467,-73.960695,40.721487,-73.98348299999998
2011-02-01 00:12:00,1,1679,1596,40.767625,-73.98071199999998,40.732298,-73.98509699999998
2011-02-01 00:12:00,1,2022,1320,40.777158,-73.952285,40.775815,-73.96075999999998
2011-02-01 00:12:00,1,3164,2011,40.758362,-73.98186,40.762752,-73.96280199999998
2011-02-01 00:12:04,1,3677,568,40.726031,-73.997501,40.724798,-73.984465
2011-02-01 00:12:06,1,1261,3008,40.758632,-73.97317199999998,40.742243,-73.98089299999998
2011-02-01 00:12:12,1,1843,160,40.725926,-74.008342,40.73576,-73.979814
2011-02-01 00:12:13,1,1096,3642,40.72926,-73.978536,40.721646,-73.987594
2011-02-01 00:12:16,4,4315,1530,40.72417700000001,-73.978847,40.715913,-73.986388
2011-02-01 00:12:32,1,3486,1596,40.740226,-74.00586199999998,40.732439,-73.985263
2011-02-01 00:12:32,1,4045,388,40.733869,-74.001428,40.73713400000001,-74.006539
2011-02-01 00:12:39,2,426,1989,40.71914500000001,-74.008832,40.742166,-73.977571
2011-02-01 00:12:48,1,1836,2426,40.722845,-73.99838199999998,40.759579,-73.98550299999998
2011-02-01 00:12:51,1,3140,241,40.750846,-73.98711999999998,40.761188,-73.98698799999998
2011-02-01 00:12:54,1,3327,3415,40.770444,-73.991186,40.775244,-73.987779
2011-02-01 00:12:57,2,3273,3850,40.775147,-73.98216499999998,40.810081,-73.947406
2011-02-01 00:13:00,2,4247,3177,40.725288,-73.99238699999998,40.781553,-73.981037
2011-02-01 00:13:00,5,465,117,40.770178,-73.962562,40.788163,-73.967163
2011-02-01 00:13:00,1,2544,963,40.756992,-73.99373199999998,40.737982,-74.00385799999998
2011-02-01 00:13:00,1,3306,4260,40.762453,-73.997175,40.728762,-74.00030499999998
2011-02-01 00:13:00,2,3626,599,40.759042,-73.96860499999998,40.773533,-73.95795699999998
2011-02-01 00:13:00,1,1679,635,40.767775,-73.98101699999998,40.807982,-73.963848
2011-02-01 00:13:00,5,1232,802,40.769162,-73.955065,40.777673,-73.948817
2011-02-01 00:13:00,1,33,2444,40.720557,-74.010062,40.707738,-74.01178
2011-02-01 00:13:11,1,2886,2345,40.764449,-73.97133599999998,40.77186500000001,-73.95005
2011-02-01 00:13:36,1,1003,2215,40.747371,-73.993391,40.752627,-73.97855699999998
2011-02-01 00:13:43,2,466,2354,40.76957700000001,-73.960285,40.776657,-73.946578
2011-02-01 00:13:54,1,3121,1398,40.753784,-73.999494,40.765113,-73.980085
2011-02-01 00:13:55,1,4313,3348,40.726004,-73.98358399999998,40.733636,-74.00300699999998
2011-02-01 00:14:00,1,2881,3387,40.713918,-74.008802,40.729565,-73.987075
2011-02-01 00:14:00,5,210,3348,40.740583,-74.001948,40.733437,-74.002887
2011-02-01 00:14:00,1,3168,2909,40.76063,-73.979837,40.778902,-73.96032499999998
2011-02-01 00:14:00,1,3507,3387,40.73459,-73.98833,40.729772,-73.98675799999998
2011-02-01 00:14:00,2,3364,168,40.728435,-73.99075499999998,40.749117,-73.99181
2011-02-01 00:14:00,5,2555,3186,40.765037,-73.98790799999998,40.79705,-73.969488
2011-02-01 00:14:00,5,17,562,40.746767,-73.99406999999998,40.724915,-74.00275699999997
2011-02-01 00:14:00,2,2621,778,40.771792,-73.967617,40.74573,-73.98682499999998
2011-02-01 00:14:00,3,716,3538,40.756122,-73.986805,40.715108,-74.00843299999998
2011-02-01 00:14:00,1,2048,414,40.80265,-73.933777,40.854382,-73.93426499999998
2011-02-01 00:14:00,1,2866,4111,40.752917,-73.97974999999998,40.741103,-73.98083199999998
2011-02-01 00:14:01,1,232,2367,40.755937,-73.99095599999998,40.783522,-73.981734
2011-02-01 00:14:06,1,4166,2633,40.775814,-73.956151,40.789473,-73.95253599999998
2011-02-01 00:14:27,1,1152,4171,40.732748,-73.98165799999998,40.762568,-73.96108099999998
2011-02-01 00:14:32,1,2875,75,40.759305,-73.97438699999998,40.810465,-73.943436
2011-02-01 00:14:33,1,1861,1888,40.778798,-73.98146,40.793309,-73.97104299999998
2011-02-01 00:14:40,1,691,1442,40.749095,-74.00323399999998,40.764966,-73.991691
2011-02-01 00:15:00,1,4250,382,40.76092,-73.97544499999998,40.734383,-74.00714499999998
2011-02-01 00:15:00,1,213,3509,40.732743,-74.00206199999998,40.800857,-73.95828
2011-02-01 00:15:00,1,4260,2472,40.72866,-74.00033999999998,40.781392,-73.95212999999998
2011-02-01 00:15:00,1,1396,2697,40.764523,-73.98088699999998,40.744487,-73.97524699999998
2011-02-01 00:15:00,5,3095,2150,40.733562,-73.99955799999998,40.851037,-73.93818799999998
2011-02-01 00:15:06,1,3153,1215,40.75497,-73.98437099999998,40.726599,-74.00225
2011-02-01 00:15:07,1,2829,3113,40.740886,-74.00758,40.742642,-73.992997
2011-02-01 00:15:12,1,2215,3271,40.752295,-73.977851,40.754994,-73.97373399999998
2011-02-01 00:15:17,1,210,2699,40.740323,-74.00180299999998,40.744059,-73.973905
2011-02-01 00:15:19,1,3373,3396,40.720019,-74.00393099999998,40.725851,-73.977659
2011-02-01 00:15:21,2,3139,233,40.750616,-73.98743,40.756426,-73.989863
2011-02-01 00:15:39,1,225,3723,40.7224,-74.003866,40.71702,-73.997546
2011-02-01 00:15:40,2,4167,4174,40.777849,-73.95469199999998,40.786777,-73.948272
2011-02-01 00:15:50,1,33,697,40.720971,-74.010069,40.733804,-73.98070600000001
2011-02-01 00:15:55,3,3614,3246,40.727382,-74.00193399999998,40.791887,-73.97370999999998
2011-02-01 00:15:57,3,1633,3117,40.73766,-73.98836699999998,40.713547,-74.00678499999998
2011-02-01 00:16:00,1,1597,2486,40.731212,-73.982265,40.723412,-73.979138
2011-02-01 00:16:00,5,1052,1232,40.768605,-73.955512,40.769012,-73.95510799999998
2011-02-01 00:16:00,1,1118,523,40.736972,-73.984588,40.79364,-73.945548
2011-02-01 00:16:00,5,1830,968,40.764792,-73.97310999999998,40.738352,-74.00820999999998
2011-02-01 00:16:00,1,2823,2491,40.739112,-74.00341799999998,40.848817,-73.941603
2011-02-01 00:16:00,1,1265,378,40.764497,-73.96877499999998,40.758168,-73.962665
2011-02-01 00:16:00,1,2423,537,40.755688,-73.98586,40.75865200000001,-73.971002
2011-02-01 00:16:00,1,4023,2850,40.730913,-73.99325799999998,40.743637,-73.98610499999998
2011-02-01 00:16:00,1,2819,1595,40.73777800000001,-74.00027699999998,40.733652,-73.987195
2011-02-01 00:16:00,1,2220,1326,40.756,-73.976202,40.745898,-73.994375
2011-02-01 00:16:12,1,1842,4272,40.72561,-74.005677,40.754008,-73.97466799999998
2011-02-01 00:16:25,1,686,1236,40.722162,-73.983469,40.719325,-73.99987799999998
2011-02-01 00:16:39,1,1187,2428,40.749875,-73.991848,40.760527,-73.984815
2011-02-01 00:16:39,1,3276,253,40.756281,-73.97251699999998,40.767257,-73.982163
2011-02-01 00:16:40,1,717,3008,40.758297,-73.992851,40.742314,-73.98078599999998
2011-02-01 00:16:46,1,342,3832,40.729791,-73.997076,40.730194,-73.98933599999998
2011-02-01 00:16:47,1,474,952,40.764012,-73.9689,40.773491,-73.961416
2011-02-01 00:16:47,1,3100,3368,40.708247,-74.01468299999998,40.709477,-74.005217
2011-02-01 00:16:55,1,470,2802,40.767925,-73.955881,40.777112,-73.949274
2011-02-01 00:16:58,1,4129,1251,40.750916,-73.97463399999998,40.750195,-73.991325
2011-02-01 00:16:59,1,2427,2699,40.759879,-73.984684,40.743795,-73.973873
2011-02-01 00:17:00,1,2162,972,40.760487,-73.969403,40.789538,-73.973737
2011-02-01 00:17:00,1,2845,460,40.743948,-73.99946,40.740667,-74.00523699999998
2011-02-01 00:17:00,1,2064,1392,40.750588,-73.99467,40.763268,-73.98182699999998
2011-02-01 00:17:26,1,2553,2561,40.764073,-73.98813599999998,40.768379,-73.98472099999998
2011-02-01 00:17:45,1,2429,1869,40.761776,-73.98434299999998,40.78306,-73.97855
2011-02-01 00:18:00,5,243,1796,40.762198,-73.98615699999998,40.793942,-73.962975
2011-02-01 00:18:00,1,866,3028,40.760497,-73.995013,40.766033,-73.99086
2011-02-01 00:18:00,1,3266,1977,40.752495,-73.97508499999998,40.730727,-73.98609299999998
2011-02-01 00:18:00,1,3278,4305,40.757408,-73.97158299999998,40.784392,-73.949968
2011-02-01 00:18:00,1,2603,2319,40.74132700000001,-74.00503999999998,40.704508,-74.009442
2011-02-01 00:18:00,2,626,1541,40.805647,-73.96179499999998,40.815197,-73.93599299999998
2011-02-01 00:18:00,1,3155,3477,40.755335,-73.983762,40.8024,-73.956845
2011-02-01 00:18:05,1,1150,2545,40.766045,-73.957553,40.777364,-73.98224599999998
2011-02-01 00:18:18,1,2349,752,40.705585,-74.007564,40.712199,-74.01017799999998
2011-02-01 00:18:46,1,385,3843,40.735785,-74.00664499999998,40.734155,-73.99500899999998
2011-02-01 00:18:59,2,1010,2051,40.728536,-73.981882,40.702425,-74.012731
